表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,合 計,22486,18934580,842,614,367,1066,884.31,105.02
新店區,張北里,2655,3107845,1171,717,392,1371,1607.52,137.33
,張南里,758,911681,1203,734,374,1359,1758.63,146.22
,廣明里,267,196660,737,580,356,938,596.66,81.01
,江陵里,2073,3149158,1519,765,410,1662,5530.84,364.08
,百忍里,1338,1215960,909,635,369,1112,942.12,103.67
,青潭里,1774,1468522,828,615,369,1050,753.14,90.98
,員潭里,1376,1126365,819,634,400,1072,831.97,101.64
,雙坑里,154,86130,559,493,331,725,375.16,67.08
,粗坑里,958,1266948,1322,688,372,1287,8493.98,642.27
,屈尺里,625,458645,734,537,339,926,629.62,85.80
,廣興里,292,203263,696,521,333,838,602.57,86.56
,龜山里,419,391307,934,511,320,855,3882.91,415.77
,直潭里,322,387228,1203,566,332,947,4666.15,388.01
,塗潭里,198,118784,600,496,290,775,603.04,100.52
,公崙里,3478,3336841,959,661,382,1152,1428.84,148.93
,柴埕里,2727,2459564,902,635,380,1159,876.57,97.19
,雙城里,1506,1039589,690,539,343,877,570.17,82.60
,頂城里,370,273810,740,534,348,850,1390.49,187.90
,下城里,979,2917306,2980,857,414,2149,16669.33,559.40
,文中里,602,631235,1049,644,401,1279,1494.99,142.58
,國校里,805,784166,974,666,370,1230,1893.16,194.35
,新生里,2036,2176810,1069,692,385,1341,1195.22,111.79
,中興里,1961,1990762,1015,683,376,1257,1249.67,123.10
,新安里,1542,1563543,1014,699,389,1249,1151.54,113.57
,文明里,732,664103,907,587,347,1061,1366.13,150.58
,寶興里,1926,2669626,1386,762,400,1608,2594.71,187.19
,寶安里,2018,2098726,1040,673,397,1281,1282.84,123.35
,信義里,2274,2679946,1179,670,387,1340,4736.72,401.92
,忠孝里,900,768116,853,616,364,1039,828.12,97.03
,大鵬里,935,1014079,1085,779,410,1397,1189.79,109.70
